Strike Price,Call Price,Put Price,Vol
23250,553.95,405,16.99
23300,525.9,426.45,16.94
23350,498.7,446.25,16.65
23400,470.85,470.05,16.76
23450,445.3,492.45,16.71
23500,420.7,519,16.64
23550,396.5,539.8,16.28
23600,371,566.05,16.46
23650,347.65,594,16.44
23700,326.5,622.6,16.41
23750,305.2,649.5,16.04
23800,284.8,678.15,16.15
23850,266.85,704,15.99
23900,247.2,736.5,15.98
23950,229.55,756,15.45
24000,214,803.5,15.98
24050,199.35,822,15.31
24100,182.15,867.1,15.68
24150,168.65,894.3,15.29
24200,154.85,943.9,15.82
24250,143.1,970,15.3
24300,131.35,1014.3,15.39
24350,128.25,,
24400,110.75,1082.55,15.03
24450,102.25,,
24500,94.35,1178,15.54
24550,88.05,,
24600,79.05,1238.4,14.41
24650,72.9,,
24700,67,1337.4,15.21
24750,58.8,,
24800,56.4,1420.35,14.89
24850,52.25,,
24900,47.75,,
24950,44.45,,
25000,40.75,1615,16.11
25050,37.3,,
25100,34.5,1667,11.02
25150,,,
25200,30.05,1780,14.1
